ínàÊ,,1,,,,,,,,2,,,,,,,,3,,,,,,,,4,,,,,,,,5,,,,,,,,6,,,,,,,,7,,,,,,,,8,,,,,,,
ä˙ä‘,"l1
ñîÇÕ
l2",ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº,ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº,ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº,ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº,ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº,ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº,ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº,ñk,ñkìå,ìå,ìÏìå,ìÏ,ìÏêº,êº,ñkêº
ó‚ñ[,0,0.152,0.116,0.092,0.089,0.1,0.095,0.098,0.122,0.146,0.121,0.099,0.095,0.099,0.092,0.095,0.117,0.15,0.128,0.107,0.103,0.106,0.092,0.091,0.112,0.155,0.117,0.096,0.099,0.116,0.105,0.104,0.125,0.134,0.114,0.1,0.101,0.107,0.097,0.097,0.113,0.147,0.116,0.098,0.101,0.116,0.102,0.099,0.117,0.163,0.12,0.098,0.103,0.122,0.105,0.101,0.123,0.154,0.121,0.097,0.096,0.106,0.098,0.099,0.122
,0.4,0.309,0.265,0.226,0.187,0.199,0.198,0.234,0.272,0.307,0.274,0.233,0.203,0.204,0.195,0.228,0.266,0.308,0.283,0.243,0.214,0.214,0.194,0.224,0.259,0.312,0.258,0.218,0.2,0.228,0.211,0.229,0.266,0.3,0.273,0.245,0.225,0.233,0.218,0.238,0.267,0.304,0.261,0.231,0.212,0.234,0.214,0.235,0.267,0.315,0.255,0.223,0.202,0.228,0.206,0.23,0.267,0.312,0.266,0.233,0.209,0.21,0.215,0.24,0.27
,0.5,0.347,0.306,0.262,0.212,0.222,0.223,0.271,0.312,0.344,0.311,0.268,0.228,0.228,0.221,0.264,0.304,0.345,0.319,0.276,0.241,0.238,0.22,0.262,0.298,0.346,0.29,0.255,0.225,0.253,0.237,0.264,0.299,0.337,0.309,0.281,0.255,0.262,0.248,0.273,0.304,0.338,0.296,0.266,0.239,0.26,0.241,0.269,0.301,0.35,0.294,0.26,0.228,0.251,0.231,0.262,0.3,0.347,0.3,0.268,0.239,0.234,0.244,0.276,0.305
,0.6,0.383,0.341,0.301,0.239,0.243,0.25,0.308,0.347,0.38,0.344,0.305,0.254,0.25,0.247,0.3,0.341,0.38,0.351,0.31,0.267,0.261,0.246,0.299,0.335,0.379,0.322,0.291,0.25,0.277,0.261,0.297,0.335,0.372,0.342,0.316,0.284,0.288,0.276,0.308,0.339,0.372,0.332,0.301,0.266,0.285,0.268,0.306,0.334,0.382,0.328,0.294,0.254,0.274,0.257,0.298,0.33,0.38,0.329,0.304,0.268,0.257,0.274,0.312,0.336
,0.7,0.416,0.372,0.337,0.266,0.263,0.276,0.343,0.378,0.413,0.374,0.338,0.28,0.271,0.273,0.336,0.373,0.413,0.382,0.34,0.292,0.282,0.273,0.336,0.366,0.411,0.358,0.323,0.274,0.299,0.286,0.329,0.367,0.405,0.376,0.348,0.311,0.314,0.304,0.342,0.37,0.403,0.365,0.335,0.293,0.309,0.295,0.339,0.369,0.413,0.358,0.329,0.279,0.295,0.282,0.331,0.364,0.41,0.36,0.337,0.298,0.28,0.303,0.346,0.368
,0.8,0.446,0.402,0.37,0.294,0.281,0.303,0.375,0.408,0.443,0.407,0.371,0.306,0.29,0.3,0.368,0.401,0.443,0.414,0.371,0.316,0.302,0.3,0.369,0.395,0.44,0.39,0.357,0.3,0.32,0.311,0.362,0.395,0.435,0.408,0.379,0.338,0.337,0.331,0.373,0.399,0.433,0.393,0.368,0.318,0.331,0.32,0.371,0.4,0.44,0.385,0.362,0.305,0.314,0.307,0.361,0.395,0.438,0.392,0.369,0.327,0.302,0.332,0.377,0.4
,1,0.499,0.463,0.434,0.349,0.314,0.357,0.437,0.468,0.497,0.465,0.432,0.36,0.325,0.354,0.429,0.46,0.496,0.468,0.428,0.364,0.338,0.353,0.431,0.455,0.494,0.442,0.417,0.349,0.356,0.359,0.418,0.448,0.489,0.461,0.437,0.388,0.379,0.383,0.431,0.456,0.487,0.447,0.426,0.369,0.369,0.371,0.431,0.453,0.49,0.444,0.421,0.355,0.349,0.356,0.423,0.447,0.489,0.446,0.429,0.381,0.351,0.384,0.436,0.454
,1.2,0.543,0.512,0.484,0.403,0.342,0.408,0.488,0.515,0.542,0.511,0.482,0.411,0.354,0.405,0.481,0.509,0.541,0.512,0.474,0.41,0.368,0.404,0.484,0.506,0.54,0.49,0.469,0.398,0.388,0.405,0.473,0.498,0.536,0.507,0.485,0.434,0.414,0.431,0.484,0.504,0.533,0.497,0.479,0.416,0.402,0.418,0.481,0.502,0.534,0.493,0.475,0.403,0.38,0.402,0.473,0.492,0.533,0.492,0.479,0.431,0.399,0.433,0.486,0.498
,1.4,0.581,0.551,0.53,0.452,0.366,0.456,0.533,0.554,0.58,0.55,0.529,0.458,0.379,0.452,0.525,0.549,0.579,0.552,0.52,0.452,0.394,0.452,0.528,0.546,0.579,0.534,0.518,0.442,0.415,0.449,0.517,0.538,0.576,0.549,0.53,0.476,0.444,0.475,0.526,0.544,0.572,0.538,0.523,0.459,0.431,0.461,0.527,0.545,0.571,0.532,0.519,0.446,0.412,0.445,0.518,0.537,0.572,0.534,0.524,0.476,0.442,0.476,0.528,0.54
,1.6,0.614,0.585,0.571,0.495,0.389,0.497,0.573,0.588,0.613,0.587,0.568,0.499,0.402,0.495,0.565,0.583,0.612,0.588,0.558,0.492,0.416,0.494,0.568,0.579,0.612,0.57,0.556,0.484,0.438,0.488,0.554,0.572,0.61,0.585,0.568,0.514,0.47,0.514,0.564,0.577,0.605,0.572,0.561,0.498,0.457,0.501,0.565,0.58,0.603,0.568,0.557,0.486,0.443,0.485,0.558,0.573,0.605,0.57,0.564,0.515,0.481,0.515,0.567,0.576
,1.8,0.641,0.618,0.604,0.533,0.416,0.534,0.606,0.621,0.642,0.619,0.6,0.536,0.428,0.532,0.599,0.614,0.641,0.618,0.589,0.527,0.436,0.532,0.603,0.612,0.641,0.601,0.588,0.52,0.458,0.524,0.589,0.6,0.639,0.615,0.599,0.548,0.493,0.55,0.599,0.608,0.633,0.603,0.594,0.534,0.484,0.536,0.598,0.61,0.632,0.601,0.592,0.522,0.472,0.52,0.591,0.603,0.633,0.601,0.597,0.55,0.515,0.55,0.6,0.607
,2,0.666,0.646,0.632,0.568,0.443,0.568,0.633,0.649,0.667,0.646,0.627,0.569,0.456,0.566,0.628,0.642,0.665,0.644,0.616,0.559,0.459,0.565,0.632,0.641,0.665,0.626,0.618,0.554,0.475,0.557,0.62,0.629,0.665,0.641,0.626,0.578,0.513,0.581,0.628,0.637,0.657,0.631,0.625,0.564,0.509,0.567,0.626,0.636,0.656,0.628,0.623,0.553,0.499,0.552,0.619,0.628,0.657,0.627,0.625,0.581,0.545,0.58,0.628,0.633
,2.5,0.716,0.7,0.688,0.636,0.515,0.633,0.69,0.702,0.717,0.699,0.686,0.634,0.527,0.634,0.683,0.698,0.716,0.695,0.676,0.625,0.52,0.633,0.688,0.696,0.714,0.682,0.681,0.621,0.52,0.621,0.678,0.687,0.716,0.694,0.685,0.641,0.562,0.643,0.684,0.692,0.707,0.687,0.683,0.629,0.564,0.632,0.685,0.69,0.706,0.682,0.679,0.619,0.556,0.617,0.678,0.683,0.706,0.682,0.681,0.644,0.606,0.643,0.684,0.687
,3,0.755,0.739,0.733,0.686,0.581,0.683,0.733,0.741,0.755,0.737,0.73,0.684,0.592,0.684,0.727,0.738,0.753,0.734,0.72,0.675,0.575,0.682,0.731,0.735,0.751,0.725,0.724,0.672,0.563,0.671,0.72,0.728,0.753,0.735,0.728,0.688,0.608,0.691,0.726,0.732,0.746,0.727,0.724,0.678,0.608,0.68,0.728,0.732,0.743,0.723,0.721,0.669,0.603,0.668,0.722,0.725,0.744,0.724,0.726,0.691,0.654,0.69,0.727,0.728
,3.5,0.784,0.769,0.765,0.725,0.633,0.722,0.766,0.77,0.784,0.768,0.762,0.722,0.643,0.723,0.761,0.768,0.783,0.766,0.752,0.714,0.624,0.72,0.765,0.765,0.78,0.758,0.756,0.711,0.605,0.71,0.753,0.759,0.783,0.766,0.76,0.725,0.649,0.728,0.76,0.763,0.776,0.758,0.757,0.716,0.644,0.718,0.76,0.763,0.772,0.756,0.756,0.709,0.64,0.706,0.755,0.757,0.773,0.756,0.76,0.728,0.692,0.727,0.759,0.76
,4,0.808,0.793,0.791,0.755,0.675,0.752,0.791,0.794,0.807,0.793,0.787,0.752,0.683,0.753,0.787,0.791,0.806,0.791,0.778,0.744,0.665,0.751,0.791,0.789,0.803,0.783,0.781,0.742,0.644,0.74,0.781,0.783,0.805,0.791,0.785,0.754,0.684,0.757,0.786,0.787,0.799,0.784,0.784,0.747,0.675,0.748,0.785,0.787,0.795,0.782,0.783,0.74,0.67,0.737,0.781,0.782,0.796,0.781,0.786,0.758,0.722,0.756,0.785,0.784
,4.5,0.827,0.813,0.811,0.78,0.708,0.776,0.811,0.814,0.826,0.813,0.807,0.777,0.715,0.778,0.808,0.81,0.824,0.811,0.798,0.769,0.699,0.776,0.812,0.809,0.822,0.803,0.803,0.767,0.677,0.766,0.803,0.803,0.824,0.811,0.804,0.778,0.715,0.781,0.807,0.807,0.818,0.805,0.806,0.771,0.702,0.773,0.806,0.808,0.813,0.803,0.805,0.765,0.695,0.763,0.801,0.803,0.815,0.802,0.806,0.781,0.747,0.78,0.806,0.805
,5,0.842,0.83,0.827,0.8,0.736,0.797,0.827,0.831,0.841,0.83,0.823,0.797,0.742,0.798,0.825,0.827,0.84,0.828,0.814,0.79,0.726,0.796,0.828,0.828,0.837,0.819,0.821,0.788,0.705,0.787,0.821,0.82,0.84,0.827,0.821,0.797,0.74,0.8,0.825,0.824,0.834,0.823,0.824,0.791,0.725,0.793,0.824,0.824,0.829,0.82,0.823,0.786,0.717,0.785,0.819,0.82,0.83,0.819,0.823,0.801,0.768,0.799,0.823,0.822
,6,0.866,0.856,0.852,0.832,0.777,0.828,0.852,0.857,0.865,0.856,0.849,0.828,0.783,0.829,0.85,0.853,0.863,0.854,0.842,0.822,0.769,0.827,0.854,0.853,0.862,0.846,0.85,0.821,0.75,0.819,0.849,0.848,0.863,0.852,0.849,0.828,0.78,0.831,0.851,0.852,0.858,0.849,0.852,0.823,0.764,0.824,0.852,0.85,0.854,0.846,0.85,0.818,0.753,0.817,0.846,0.847,0.854,0.846,0.848,0.831,0.801,0.829,0.849,0.849
