1,2,3,4,5,6,7,key,項目名,必須,条件,型,単位,入力,備考
〇,,,,,,,building,建物,〇,,dict,－,,
,〇,,,,,,infiltration,隙間風,〇,,dict,－,,
,,〇,,,,,infiltration_method,隙間風の計算方法,〇,,str,－,{'balance_residential'},
,,〇,,,,,story,建物の階数,△,{'infiltration_method': 'balance_residential'},int,－,,1又は2。
,,〇,,,,,c_value,相当隙間面積,△,{'infiltration_method': 'balance_residential'},float,cm2/m2,,0以上。
,,〇,,,,,inside_pressure,室内圧力,△,{'infiltration_method': 'balance_residential'},str,－,"{'positive', 'negative', 'balanced'}",
〇,,,,,,,rooms,室情報,〇,,list,－,,
,〇,,,,,,,,〇,,dict,－,,
,,〇,,,,,id,室通し番号,〇,,int,－,必ず0から順番に振ること。,
,,〇,,,,,name,室名,〇,,str,－,,
,,〇,,,,,volume,気積,〇,,float,m3,0以上。,
,,〇,,,,,beta,放射暖房の対流放熱比率,〇,,float,－,0以上。,
,,〇,,,,,ventilation,換気,〇,,dict,－,,
,,,〇,,,,mechanical,外気からの機械換気流入量,〇,,float,m3/sec,0以上。,
,,,〇,,,,next_spaces,隣室からの機械換気流入量,〇,,"list, null",－,,
,,,,〇,,,,,,,dict,－,,
,,,,,○,,upstream_room_id,上流側の室の名称,○,,id,ー,,
,,,,,○,,volume,換気量,○,,float,m3/sec,,
,,,〇,,,,natural,自然風利用時の換気量,〇,,float,m3/sec,0以上。,
,,〇,,,,,furniture,家具,〇,,dict,－,,
,,,〇,,,,input_method,入力方法,〇,,str,－,"{'default', 'specify'}",
,,,〇,,,,heat_capacity,家具等の熱容量,△,{'input_method': 'specify'},float,J/K,0以上。,12.6kJ/(m3･K)
,,,〇,,,,heat_cond,家具等と空気間の熱コンダクタンス,△,{'input_method': 'specify'},float,W/K,0以上。,0.00022[1/s]
,,,〇,,,,moisture_capacity,家具等の湿気容量,△,{'input_method': 'specify'},float,kg/(kg/kgDA),0以上。,16.8 kg/(m3･(kg/kgDA))
,,,〇,,,,moisture_cond,家具等と空気間の湿気コンダクタンス,△,{'input_method': 'specify'},float,kg/(s･kg/kgDA)),0以上。,0.0018 [1/s]
〇,,,,,,,boundaries,境界,〇,,list,－,,
,〇,,,,,,,,〇,,dict,－,,
,,〇,,,,,id,境界通し番号,〇,,int,－,必ず0から順番に振ること。,
,,〇,,,,,name,境界名称,〇,,str,－,,ex:integrated_boundary0
,,〇,,,,,sub_name,境界の副名称,〇,,str,－,,ex:north_exterior_wall
,,〇,,,,,boundary_type,境界の種類,〇,,str,－,"{'external_general_part', 'internal','ground','external_transparent_part', 'external_opaque_part'}",
,,〇,,,,,is_ground,地盤であるか否か,〇,,bool,－,,
,,〇,,,,,connected_room_id,隣接する空間のID,〇,,int,－,,
,,〇,,,,,area,面積,〇,,float,m2,,
,,○,,,,,is_sun_striked_outside,日射の有無,△,"{'boundary_type': ['external_general_part', 'external_transparent_part', 'external_opaque_part']}",bool,ー,,
,,〇,,,,,h_c,室内側対流熱伝達率,〇,,float,W/(m2・K),,
,,〇,,,,,is_solar_absorbed_inside,室内侵入日射吸収の有無,〇,,bool,－,,
,,〇,,,,,k_outside,隣室温度差係数（室外側相当外気温度基準）,〇,,float,－,,
,,〇,,,,,is_floor,床か否か,〇,,bool,－,,
