1,2,3,4,5,key,項目名,必須,型,単位,入力,備考
○,,,,,common,共通,○,dict,－,,
,○,,,,region,地域の区分,○,int,－,1から8の値。,1から8の地域区分を表す。
○,,,,,building,建物,○,dict,－,,
,○,,,,story,建物の階数,〇,int,－,1又は2。,
,○,,,,c_value,相当隙間面積,〇,float,cm2/m2,0以上。,
,○,,,,inside_pressure,室内圧力,〇,str,－,"'positive', 'negative' or 'balanced'",
○,,,,,rooms,室情報,○,list,－,,
,○,,,,,,○,dict,－,,
,,○,,,id,ID,○,int,－,,先頭を0から1つずつインクリメントしなければならない。重複があってはならない。
,,○,,,name,名称,○,str,－,,
,,○,,,room_type,室タイプ,○,str,－,"'main_occupant_room', 'other_occupant_room', 'non_occupant_room' 又は 'underfloor'",「主たる居室」「その他の居室」「非居室」又は「床下空間」。主たる居室は必ず1つ指定する必要がある。
,,○,,,volume,気積,○,float,m3,,
,,○,,,vent,外気からの機械換気量,○,float,m3/h,,
,,○,,,next_vent,隣室からの機械換気量,○,"list, null",ー,,複数指定。Null も可能。
,,,○,,,,○,dict,ー,,
,,,,○,upstream_room_name,上流側の室の名称,△,str,ー,"'main_occupant_room', 'other_occupant_room', 'non_occupant_room' 又は 'underfloor'",
,,,,○,volume,換気量,△,float,m3/h,,
,,○,,,natural_vent_time,自然風利用時の換気回数,△,float,ー,,
,,○,,,heating_equipment,暖房設備,○,dict,ー,,
,,,○,,is_radiative_heating,放射暖房有無,○,bool,ー,,
,,,○,,radiative_heating,放射暖房,△,dict,ー,,[is_radiative_heating]がTrueの場合に定義される。
,,,,○,max_capacity,最大能力,○,short,W/m2,,
,,,,○,area,面積,○,short,m2,,
,,○,,,cooling_equipment,冷房設備,○,dict,ー,,
,,,○,,is_radiative_cooling,放射冷房有無,△,bool,ー,,
,,,○,,radiative_cooling,放射冷房,△,dict,ー,,[is_radiative_cooling]がTrueの場合に定義される。
,,,,○,max_capacity,最大能力,△,short,W/m2,,
,,,,○,area,面積,△,short,m2,,
○,,,,,boundaries,境界,○,list,ー,,
,○,,,,,,○,dict,ー,,
,,○,,,id,ID,○,int,ー,,"先頭を0から1つずつインクリメントしなければならない。重複があってはならない。"
,,○,,,name,名前,○,str,ー,,
,,○,,,connected_room_id,接する室のID,○,int,ー,,
,,○,,,boundary_type,境界の種類,○,str,ー,"'internal', 'external_general_part', 'external_transparent_part', 'external_opaque_part' or 'ground'",「間仕切り」「外皮_一般部位」「外皮_透明な開口部」「外皮_不透明な開口部」「地盤」
,,○,,,area,面積,○,float,m2,,
,,○,,,is_sun_striked_outside,日射の有無,△,bool,ー,,[境界の種類]が[外皮_一般部位]、[外皮_透明な開口部]又は[外皮_不透明な開口部]の場合に定義される。
