全体,室,境界,現在の出力分類,出力ラベル変更案,単位
〇,,,外気温度,out_temp,℃
〇,,,外気絶対湿度,out_abs_humid,kg/kg(DA)
,〇,,運転状態,ac_operate,－
,〇,,在室状況,occupancy,boolean
,〇,,目標PMV,pmv_target,－
,〇,,在室者周りの対流熱伝達率,hc_hum,W/(m2･K)
,〇,,在室者周りの放射熱伝達率,hr_hum,W/(m2･K)
,〇,,在室者周りの風速,v_hum,m/s
,〇,,空気温度,t_r,℃
,〇,,室相対湿度,rh_r,%
,〇,,室絶対湿度,x_r,kg/kg(DA)
,〇,,室MRT,mrt,℃
,〇,,室作用温度,ot,℃
,〇,,着衣量[clo],clo,clo
,〇,,透過日射熱取得,q_sol_t,W
,〇,,人体発熱を除く内部発熱,q_s_except_hum,W
,〇,,人体発湿を除く内部発湿,q_l_except_hum,kg/s
,〇,,人体顕熱発熱,q_hum_s,W
,〇,,人体潜熱発熱,q_hum_l,W
,〇,,対流空調顕熱負荷,l_s_c,W
,〇,,放射空調顕熱負荷,l_s_r,W
,〇,,対流空調潜熱負荷,l_l_c,W
,〇,,家具温度,t_fun,℃
,〇,,家具取得熱量,q_s_fun,W
,〇,,家具吸収日射熱量,q_s_sol_fun,W
,〇,,家具絶対湿度,x_fun,kg/kg(DA)
,〇,,家具取得水蒸気量,q_l_fun,kg/s
,,〇,表面温度,t_s,℃
,,〇,等価室温,t_e,℃
,,〇,境界温度,t_b,℃
,,〇,表面放射熱伝達率,hir_s,W/(m2･K)
,,〇,表面放射熱量,qir_s,W
,,〇,表面対流熱伝達率,hic_s,W/(m2･K)
,,〇,表面対流熱量,qic_s,W
,,〇,表面吸収日射量,qisol_s,W
,,〇,表面熱量,qiall_s,W
