,out_temp,out_abs_humid,rm0_ac_operate,rm0_t_r,rm0_x_r,rm0_ot,rm0_l_s_c,rm0_l_s_r,rm0_l_l_c,rm1_ac_operate,rm1_t_r,rm1_x_r,rm1_ot,rm1_l_s_c,rm1_l_s_r,rm1_l_l_c,rm2_ac_operate,rm2_t_r,rm2_x_r,rm2_ot,rm2_l_s_c,rm2_l_s_r,rm2_l_l_c
1989-01-01 00:00:00,2.41,0.0,OperationMode.STOP_CLOSE,8.63,0.0032,7.99,0.0,0.0,0.0,OperationMode.COOLING,8.16,482246284853370.4,7.66,0.0,0.0,0.0,OperationMode.STOP_CLOSE,4.63,2691581310498280.5,4.88,0.0,0.0,0.0
1989-01-01 01:00:00,2.71,0.0,OperationMode.STOP_CLOSE,7.37,0.0032,6.9,0.0,0.0,0.0,OperationMode.COOLING,7.47,485431395092618.6,6.98,0.0,0.0,0.0,OperationMode.STOP_CLOSE,4.18,2725637171908315.0,4.4,0.0,0.0,0.0
1989-01-01 02:00:00,2.86,0.0,OperationMode.STOP_CLOSE,6.5,0.0032,6.1,0.0,0.0,0.0,OperationMode.COOLING,6.9,488806677261833.0,6.41,0.0,0.0,0.0,OperationMode.STOP_CLOSE,3.8,2759926959537721.0,4.01,0.0,0.0,0.0
1989-01-01 03:00:00,2.65,0.0,OperationMode.STOP_CLOSE,5.77,0.0032,5.44,0.0,0.0,0.0,OperationMode.COOLING,6.38,492364792694350.0,5.91,0.0,0.0,0.0,OperationMode.STOP_CLOSE,3.47,2794463827725918.5,3.66,0.0,0.0,0.0
1989-01-01 04:00:00,2.4,0.0,OperationMode.STOP_CLOSE,5.12,0.0032,4.84,0.0,0.0,0.0,OperationMode.COOLING,5.9,496098913463779.0,5.43,0.0,0.0,0.0,OperationMode.STOP_CLOSE,3.17,2829260251381226.0,3.34,0.0,0.0,0.0
1989-01-01 05:00:00,2.55,0.0,OperationMode.STOP_CLOSE,4.62,0.0032,4.38,0.0,0.0,0.0,OperationMode.COOLING,5.5,500002692122400.1,5.04,0.0,0.0,0.0,OperationMode.STOP_CLOSE,2.89,2864328251785513.5,3.05,0.0,0.0,0.0
1989-01-01 06:00:00,2.61,0.0,OperationMode.STOP_CLOSE,4.24,0.0033,4.03,0.0,0.0,0.0,OperationMode.COOLING,5.17,504070232297870.6,4.74,0.0,0.0,0.0,OperationMode.STOP_CLOSE,2.69,2899679428755643.5,2.84,0.0,0.0,0.0
1989-01-01 07:00:00,2.3,0.0,OperationMode.STOP_CLOSE,4.33,0.0033,4.03,0.0,0.0,0.0,OperationMode.COOLING,4.8,508270559270975.5,4.46,0.0,0.0,0.0,OperationMode.COOLING,2.84,2931224526987004.0,2.89,0.0,0.0,0.0
1989-01-01 08:00:00,2.82,0.0,OperationMode.HEATING,6.13,0.0033,5.71,0.0,0.0,0.0,OperationMode.COOLING,4.87,512527202251709.0,4.92,0.0,0.0,0.0,OperationMode.COOLING,2.98,2957019162123707.0,3.09,0.0,0.0,0.0
1989-01-01 09:00:00,4.53,0.0,OperationMode.HEATING,9.6,0.0033,9.5,0.0,0.0,0.0,OperationMode.COOLING,6.92,516870994954773.3,7.45,0.0,0.0,0.0,OperationMode.STOP_CLOSE,3.08,2988539684050801.0,3.54,0.0,0.0,0.0
