室名,室分類,運転モード,設定分類,曜日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
主たる居室,,暖房,温度,平日,0,0,0,0,0,0,20,20,20,20,0,0,20,20,0,0,20,20,20,20,20,20,20,20
主たる居室,,暖房,温度,休日,0,0,0,0,0,0,0,0,20,20,20,20,20,20,0,0,20,20,20,20,20,20,20,0
その他居室,子供室1,暖房,温度,平日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20
その他居室,子供室1,暖房,温度,休日,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,20,20,20,0,20,20,20,0
その他居室,子供室2,暖房,温度,平日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,20,0
その他居室,子供室2,暖房,温度,休日,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,20,20,20,0
主たる居室,,冷房,温度,平日,0,0,0,0,0,0,27,27,27,27,0,0,27,27,0,0,27,27,27,27,27,27,27,27
主たる居室,,冷房,温度,休日,0,0,0,0,0,0,0,0,27,27,27,27,27,27,0,0,27,27,27,27,27,27,27,0
その他居室,子供室1,冷房,温度,平日,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,27
その他居室,子供室1,冷房,温度,休日,28,28,28,28,28,28,28,28,27,27,27,27,0,0,0,0,27,27,27,0,27,27,27,28
その他居室,子供室2,冷房,温度,平日,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,27,28
その他居室,子供室2,冷房,温度,休日,28,28,28,28,28,28,28,28,0,27,27,27,27,0,0,0,0,0,0,0,27,27,27,28
その他居室,寝室,冷房,温度,平日,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
その他居室,寝室,冷房,温度,休日,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
