室名,曜日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
非居室,平日,0,0,0,0,0,0,84.569,154.81865,101.327,149.79505,76.019,0,0.94905,47.519,0,0,64.26655,64.26655,70.58405,76.96805,114.16655,267.36065,273.2785,79.8152
非居室,休日,0,0,0,0,0,0,0,186.22185,200.47185,227.9905,58.8981,65.2156,57,14.25,0,0,116.91865,76.18555,41.135,59.84715,57.94905,159.9945,190.62565,62.71805
主たる居室,平日,0,0,0,0,0,0,47.4783,137.4033,63.03,167.3547,20.955,0,121.8075,63.03,0,0,82.8675,83.985,124.7775,136.8225,184.8375,83.985,83.985,42.075
主たる居室,休日,0,0,0,0,0,0,0,0,184.8375,209.1,83.985,83.985,163.7175,68.4333,0,0,83.985,124.7775,136.8225,190.7775,83.985,83.985,83.985,0
その他居室_子供室1,平日,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,63,21,84,84
その他居室_子供室1,休日,0,0,0,0,0,0,0,0,0,63,84,84,0,0,0,0,84,84,42,0,84,21,84,0
その他居室_子供室2,平日,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,42,42,0,63,84,21
その他居室_子供室2,休日,0,0,0,0,0,0,0,0,21,84,84,84,42,0,0,0,0,0,0,0,84,84,84,0
その他居室_寝室,平日,0,0,0,0,0,0,0,0,0,42.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
その他居室_寝室,休日,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
