室名,機器発熱分類,曜日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
主たる居室,顕熱,平日,66.93144,66.93144,66.93144,66.93144,66.93144,66.93144,84.31144,269.09844,270.63876,167.8224,117.37692,66.93144,185.2024,218.65296,66.93144,66.93144,167.8224,218.65296,303.85844,269.09844,269.09844,269.09844,242.913,242.913
主たる居室,顕熱,休日,66.93144,66.93144,66.93144,66.93144,66.93144,66.93144,66.93144,66.93144,286.47844,269.09844,445.08,418.89456,286.47844,117.37692,66.93144,66.93144,167.8224,303.85844,269.09844,167.8224,269.09844,269.09844,242.913,66.93144
主たる居室,潜熱,平日,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
主たる居室,潜熱,休日,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
非居室,顕熱,平日,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,95.075,56.95625,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,148.75,41.51875,95.075
非居室,顕熱,休日,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,95.075,110.5125,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,41.51875,95.075,41.51875,41.51875,41.51875,95.075,41.51875,95.075
その他居室_子供室1,顕熱,平日,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,60,30,80,35.04
その他居室_子供室1,顕熱,休日,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,63.76,80,80,15.04,15.04,15.04,15.04,20,20,17.52,15.04,80,31.28,80,15.04
その他居室_子供室2,顕熱,平日,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38.25,14.75
その他居室_子供室2,顕熱,休日,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,50,50,3
その他居室_寝室,顕熱,平日,0,0,0,0,0,0,0,0,0,275.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
その他居室_寝室,顕熱,休日,0,0,0,0,0,0,0,0,0,412.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
