日時,外気温度[℃],外気絶対湿度[kg/kg(DA)],main_occupant_room_窓開閉,main_occupant_room_在室状況,main_occupant_room_最終空調状態,main_occupant_room_空気温度[℃],main_occupant_room_室相対湿度[%],main_occupant_room_室絶対湿度[kg/kg(DA)],main_occupant_room_室MRT[℃],main_occupant_room_室作用温度[℃],main_occupant_room_透過日射熱取得[W],main_occupant_room_機器顕熱発熱[W],main_occupant_room_照明発熱[W],main_occupant_room_人体顕熱発熱[W],main_occupant_room_人体潜熱発熱[W],main_occupant_room_対流空調顕熱負荷[W],main_occupant_room_放射空調顕熱負荷[W],main_occupant_room_対流空調潜熱負荷[W],main_occupant_room_家具温度[℃],main_occupant_room_家具取得熱量[W],main_occupant_room_家具吸収日射熱量[W],main_occupant_room_家具絶対湿度[kg/kg(DA)],main_occupant_room_家具取得水蒸気量[kg/s],main_occupant_room_summarize_building_part_0_表面温度[℃],main_occupant_room_summarize_building_part_1_表面温度[℃],main_occupant_room_summarize_building_part_2_表面温度[℃],main_occupant_room_summarize_building_part_0_等価室温[℃],main_occupant_room_summarize_building_part_1_等価室温[℃],main_occupant_room_summarize_building_part_2_等価室温[℃],main_occupant_room_summarize_building_part_0_境界温度[℃],main_occupant_room_summarize_building_part_1_境界温度[℃],main_occupant_room_summarize_building_part_2_境界温度[℃],main_occupant_room_summarize_building_part_0_表面放射熱流[W],main_occupant_room_summarize_building_part_1_表面放射熱流[W],main_occupant_room_summarize_building_part_2_表面放射熱流[W],main_occupant_room_summarize_building_part_0_表面対流熱流[W],main_occupant_room_summarize_building_part_1_表面対流熱流[W],main_occupant_room_summarize_building_part_2_表面対流熱流[W]
1989-01-01 00:00:00,2.3,0.0032,0,0,0,13.16,61,0.0057,1.76,7.46,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,14.70,-302.4,0.0,0.00576,-0.00005,1.34,2.95,1.46,3.13,5.19,2.08,0.80,0.80,6.11,31.21,-53.23,22.02,131.33,194.95,0.00
1989-01-01 00:15:00,2.4,0.0032,0,0,0,12.49,64,0.0057,2.48,7.48,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,14.33,-361.4,0.0,0.00573,-0.00005,2.62,3.15,2.03,3.73,5.53,3.00,0.89,0.89,5.61,-9.09,-28.55,37.63,109.77,178.29,0.00
1989-01-01 00:30:00,2.5,0.0032,0,0,0,12.14,65,0.0057,3.04,7.59,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,13.97,-359.8,0.0,0.00569,-0.00005,3.35,3.34,2.67,4.19,5.82,3.69,0.98,0.98,5.46,-21.55,-11.51,33.05,97.70,167.92,0.00
1989-01-01 00:45:00,2.5,0.0033,0,0,0,11.88,65,0.0056,3.54,7.71,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,13.62,-343.3,0.0,0.00566,-0.00004,3.99,3.52,3.23,4.61,6.10,4.30,1.06,1.06,5.41,-32.05,3.04,29.01,87.65,159.49,0.00
1989-01-01 01:00:00,2.6,0.0033,0,0,0,11.65,66,0.0056,3.96,7.80,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,13.30,-324.6,0.0,0.00563,-0.00004,4.48,3.68,3.72,4.94,6.32,4.80,1.15,1.15,5.38,-37.67,14.74,22.94,79.62,152.14,0.00
1989-01-01 01:15:00,2.7,0.0033,0,0,0,11.43,67,0.0056,4.28,7.85,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,12.99,-307.1,0.0,0.00559,-0.00004,4.83,3.79,4.13,5.20,6.48,5.18,1.23,1.23,5.37,-39.96,23.79,16.17,73.29,145.74,0.00
1989-01-01 01:30:00,2.8,0.0032,0,0,0,11.21,67,0.0055,4.52,7.86,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,12.69,-291.3,0.0,0.00556,-0.00004,5.06,3.88,4.44,5.38,6.58,5.46,1.30,1.30,5.35,-39.96,30.21,9.75,68.35,140.03,0.00
1989-01-01 01:45:00,2.8,0.0032,0,0,0,11.00,68,0.0055,4.68,7.84,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,12.41,-277.1,0.0,0.00553,-0.00004,5.21,3.94,4.67,5.49,6.62,5.65,1.38,1.38,5.34,-38.70,34.46,4.24,64.46,134.90,0.00
1989-01-01 02:00:00,2.9,0.0032,0,0,0,10.80,68,0.0055,4.78,7.79,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,12.15,-264.4,0.0,0.00550,-0.00004,5.28,3.98,4.82,5.55,6.63,5.77,1.45,1.45,5.33,-36.88,36.95,-0.07,61.37,130.24,0.00
1989-01-01 02:15:00,2.9,0.0032,0,0,0,10.60,69,0.0054,4.83,7.71,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,11.89,-254.3,0.0,0.00547,-0.00004,5.31,3.96,4.91,5.56,6.60,5.82,1.45,1.45,5.25,-35.69,39.46,-3.77,58.81,126.65,0.00
1989-01-01 02:30:00,2.8,0.0032,0,0,0,10.40,69,0.0054,4.83,7.61,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,11.64,-245.5,0.0,0.00543,-0.00004,5.30,3.93,4.94,5.54,6.54,5.82,1.45,1.45,5.17,-34.61,40.79,-6.18,56.70,123.35,0.00
