日時,外気温度[℃],外気絶対湿度[kg/kg(DA)],窓開閉,在室状況,最終空調状態,空気温度[℃],室相対湿度[%],室絶対湿度[kg/kg(DA)],室MRT[℃],室作用温度[℃],透過日射熱取得[W],機器顕熱発熱[W],照明発熱[W],人体顕熱発熱[W],人体潜熱発熱[W],対流空調顕熱負荷[W],放射空調顕熱負荷[W],対流空調潜熱負荷[W],家具温度[℃],家具取得熱量[W],家具吸収日射熱量[W],家具絶対湿度[kg/kg(DA)],家具取得水蒸気量[kg/s],事務所外壁12_表面温度[℃],事務所窓12_表面温度[℃],事務所屋根12_表面温度[℃],事務所外壁12_等価室温[℃],事務所窓12_等価室温[℃],事務所屋根12_等価室温[℃],事務所外壁12_境界温度[℃],事務所窓12_境界温度[℃],事務所屋根12_境界温度[℃],事務所外壁12_表面放射熱流[W],事務所窓12_表面放射熱流[W],事務所屋根12_表面放射熱流[W],事務所外壁12_表面対流熱流[W],事務所窓12_表面対流熱流[W],事務所屋根12_表面対流熱流[W]
1989-08-01 00:00:00,26.5,0.0169,0,0,0,14.49,57,0.0058,2.64,8.56,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,14.77,-110.5,0.0,0.00580,0.00000,3.16,14.58,3.50,4.67,8.28,4.67,25.55,25.66,24.60,401.61,-684.26,282.65,146.38,-4.01,142.00
1989-08-01 01:00:00,25.6,0.0165,0,0,0,14.55,56,0.0058,3.89,9.22,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,14.67,-49.6,0.0,0.00580,0.00000,6.15,15.19,5.57,6.95,9.74,6.95,24.65,24.76,23.70,180.83,-567.21,386.37,108.42,-27.42,115.99
1989-08-01 02:00:00,24.3,0.0160,0,0,0,14.38,57,0.0058,3.71,9.05,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,14.54,-63.1,0.0,0.00580,0.00000,6.51,14.54,4.65,6.64,9.48,6.64,23.30,23.41,22.30,-54.39,-544.84,599.23,101.71,-6.69,125.78
1989-08-01 03:00:00,23.4,0.0157,0,0,0,14.16,58,0.0058,3.43,8.79,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,14.37,-83.9,0.0,0.00580,0.00000,6.15,13.93,4.01,6.14,9.09,6.14,22.30,22.42,21.20,-105.77,-537.97,643.74,103.50,9.82,131.10
1989-08-01 04:00:00,22.7,0.0152,0,0,0,13.92,59,0.0058,3.19,8.56,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,14.17,-98.1,0.0,0.00580,0.00000,5.90,13.45,3.42,5.73,8.74,5.73,21.60,21.72,20.50,-168.47,-534.26,702.73,103.56,20.00,135.65
1989-08-01 05:00:00,21.8,0.0146,0,0,0,13.72,60,0.0058,3.19,8.45,13.32,150.00,0.00,0.00,0.00,0.0,0.0,0.0,13.99,-103.3,13.3,0.00580,0.00000,5.94,13.03,3.47,5.72,8.66,5.72,20.60,20.69,19.39,-179.57,-505.89,685.46,100.56,29.59,132.42
1989-08-01 06:00:00,21.3,0.0141,0,0,0,13.88,59,0.0058,3.38,8.63,217.87,150.00,0.00,0.00,0.00,0.0,0.0,0.0,14.19,-120.7,217.9,0.00580,0.00000,6.31,13.01,3.90,6.08,8.94,6.08,20.80,20.14,21.35,-182.52,-480.42,662.94,97.72,36.88,128.86
1989-08-01 07:00:00,22.0,0.0141,0,0,0,14.58,56,0.0058,3.90,9.24,494.23,150.00,0.00,0.00,0.00,0.0,0.0,0.0,14.92,-134.6,494.2,0.00580,0.00000,7.15,13.81,5.02,7.03,9.80,7.03,22.51,20.84,28.11,-140.17,-469.69,609.87,95.86,32.47,123.49
1989-08-01 08:00:00,24.4,0.0140,0,0,0,15.80,52,0.0058,4.72,10.26,726.08,150.00,0.00,0.00,0.00,0.0,0.0,0.0,16.14,-131.2,726.1,0.00580,0.00000,8.49,15.55,6.60,8.51,11.19,8.51,25.71,23.20,36.76,-88.99,-486.42,575.42,94.37,10.66,118.84
1989-08-01 09:00:00,25.6,0.0139,0,0,0,17.65,46,0.0058,5.61,11.63,1154.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,18.12,-181.6,1154.0,0.00580,0.00000,10.05,17.05,8.28,10.13,12.89,10.13,30.09,24.36,43.31,-70.31,-479.40,549.71,98.19,25.46,121.03
1989-08-01 10:00:00,27.7,0.0139,0,0,0,20.50,39,0.0058,6.55,13.53,1825.20,150.00,0.00,0.00,0.00,0.0,0.0,0.0,21.25,-290.5,1825.2,0.00580,0.00000,11.70,19.18,9.92,11.86,15.03,11.86,35.03,26.46,49.76,-58.56,-508.71,567.26,113.69,56.34,136.74
1989-08-01 11:00:00,27.8,0.0139,0,0,0,24.05,31,0.0058,7.45,15.75,2402.10,150.00,0.00,0.00,0.00,0.0,0.0,0.0,25.22,-456.3,2402.1,0.00580,0.00000,13.39,20.73,11.54,13.57,17.42,13.57,37.06,26.56,52.72,-72.59,-502.74,575.33,137.70,140.88,161.56
1989-08-01 12:00:00,28.7,0.0138,0,0,0,27.85,25,0.0058,8.32,18.09,2668.68,150.00,0.00,0.00,0.00,0.0,0.0,0.0,29.43,-609.5,2668.7,0.00580,0.00000,15.05,22.60,12.98,15.22,19.86,15.22,38.74,27.41,54.78,-102.61,-522.21,624.83,165.42,223.33,192.21
1989-08-01 13:00:00,30.8,0.0138,0,0,0,31.39,20,0.0058,9.29,20.34,2543.02,150.00,0.00,0.00,0.00,0.0,0.0,0.0,33.19,-697.9,2543.0,0.00580,0.00000,16.82,24.90,14.55,17.01,22.30,17.01,40.39,29.47,56.13,-117.13,-560.11,677.24,188.29,276.15,217.55
1989-08-01 14:00:00,31.1,0.0138,0,0,0,33.98,18,0.0058,10.09,22.04,2053.77,150.00,0.00,0.00,0.00,0.0,0.0,0.0,35.88,-736.0,2053.8,0.00580,0.00000,18.44,26.22,15.90,18.52,24.20,18.52,39.13,29.77,54.21,-170.68,-550.37,721.05,200.80,330.05,233.64
1989-08-01 15:00:00,32.1,0.0138,0,0,0,35.45,16,0.0058,10.74,23.10,1382.36,150.00,0.00,0.00,0.00,0.0,0.0,0.0,37.27,-703.1,1382.4,0.00580,0.00000,19.74,27.41,16.95,19.71,25.50,19.71,37.58,30.77,51.31,-214.28,-550.89,765.17,202.97,342.15,239.05
1989-08-01 16:00:00,32.7,0.0140,0,0,0,35.98,16,0.0058,11.28,23.63,813.86,150.00,0.00,0.00,0.00,0.0,0.0,0.0,37.63,-638.1,813.9,0.00580,0.00000,20.82,28.13,17.91,20.69,26.31,20.69,34.85,31.32,46.72,-243.75,-532.72,776.47,195.89,334.03,233.47
1989-08-01 17:00:00,32.5,0.0143,0,0,0,36.07,16,0.0058,11.70,23.88,574.10,150.00,0.00,0.00,0.00,0.0,0.0,0.0,37.59,-590.5,574.1,0.00580,0.00000,21.67,28.40,18.73,21.45,26.82,21.45,33.11,31.17,40.52,-267.31,-498.36,765.68,185.99,326.26,224.04
1989-08-01 18:00:00,31.1,0.0146,0,0,0,35.75,16,0.0058,12.01,23.88,327.93,150.00,0.00,0.00,0.00,0.0,0.0,0.0,37.15,-544.9,327.9,0.00580,0.00000,22.33,28.06,19.48,22.03,27.07,22.03,30.85,29.81,32.71,-281.48,-435.27,716.76,173.34,326.65,210.12
1989-08-01 19:00:00,30.6,0.0148,0,0,0,35.06,17,0.0058,12.32,23.69,40.09,150.00,0.00,0.00,0.00,0.0,0.0,0.0,36.27,-469.5,40.1,0.00580,0.00000,22.88,27.94,20.25,22.58,27.16,22.58,29.30,29.31,27.97,-266.88,-387.81,654.69,157.41,302.77,191.36
1989-08-01 20:00:00,28.9,0.0151,0,0,0,34.33,17,0.0058,12.63,23.48,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,35.41,-420.6,0.0,0.00580,0.00000,23.43,27.42,21.16,23.15,27.26,23.15,27.55,27.70,26.20,-242.05,-311.48,553.52,140.84,293.96,170.14
1989-08-01 21:00:00,28.0,0.0153,0,0,0,33.69,18,0.0058,12.95,23.32,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,34.65,-373.3,0.0,0.00580,0.00000,23.97,27.18,22.03,23.73,27.39,23.73,26.65,26.80,25.30,-213.33,-253.75,467.08,125.56,277.08,150.63
1989-08-01 22:00:00,27.1,0.0153,0,0,0,33.12,18,0.0058,13.22,23.17,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,33.97,-332.6,0.0,0.00580,0.00000,24.44,26.91,22.77,24.22,27.49,24.22,25.75,25.90,24.40,-192.41,-200.85,393.26,112.04,263.83,133.62
1989-08-01 23:00:00,26.4,0.0153,0,0,0,32.59,19,0.0058,13.39,22.99,0.00,150.00,0.00,0.00,0.00,0.0,0.0,0.0,33.36,-299.1,0.0,0.00580,0.00000,24.75,26.68,23.25,24.53,27.49,24.53,25.10,25.24,23.80,-181.67,-162.69,344.37,101.33,251.64,120.71
