月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,1,1,2.6,3.3,0,0,80.55555556,0,0
1,1,2,2.9,3.2,0,0,80.55555556,0,0
1,1,3,2.8,3.2,0,0,75,0,0
1,1,4,2.4,3.3,0,0,72.22222222,0,0
1,1,5,2.4,3.3,0,0,69.44444444,0,0
1,1,6,2.8,3.3,0,0,63.88888889,0,0
1,1,7,2.3,3.2,0,2.777777778,63.88888889,0,0
1,1,8,2.3,3.3,138.8888889,41.66666667,63.88888889,7.7,-55
1,1,9,3.7,3.3,486.1111111,88.88888889,86.11111111,17.1,-44.7
1,1,10,5.9,3.3,736.1111111,86.11111111,97.22222222,24.8,-32.4
1,1,11,7.7,2.8,663.8888889,125,97.22222222,30.1,-18.1
1,1,12,8.5,3,569.4444444,158.3333333,91.66666667,32.3,-2.1
1,1,13,9.3,2.6,788.8888889,97.22222222,108.3333333,31,14
1,1,14,9.8,2.6,450,150,91.66666667,26.5,28.9
1,1,15,9.6,2.6,141.6666667,116.6666667,63.88888889,19.3,41.7
1,1,16,8.9,3.3,152.7777778,58.33333333,72.22222222,10.3,52.5
1,1,17,7.9,3.3,0,13.88888889,69.44444444,0,0
1,1,18,6.9,3.5,0,0,72.22222222,0,0
1,1,19,6.4,3.6,0,0,69.44444444,0,0
1,1,20,6.4,3.7,0,0,69.44444444,0,0
1,1,21,6.4,3.7,0,0,69.44444444,0,0
1,1,22,6.2,3.6,0,0,69.44444444,0,0
1,1,23,6.1,3.5,0,0,69.44444444,0,0
1,1,24,5.9,3.5,0,0,69.44444444,0,0
1,2,1,5.4,3.5,0,0,69.44444444,0,0
1,2,2,5.6,3.5,0,0,69.44444444,0,0
1,2,3,5.5,3.4,0,0,69.44444444,0,0
1,2,4,5.5,3.5,0,0,69.44444444,0,0
1,2,5,5.4,3.4,0,0,69.44444444,0,0
1,2,6,5.7,3.2,0,0,69.44444444,0,0
1,2,7,5.1,3.3,0,0,69.44444444,0,0
1,2,8,4.5,3.6,236.1111111,44.44444444,66.66666667,7.7,-55.2
1,2,9,5.3,3.5,58.33333333,86.11111111,47.22222222,17.1,-44.9
1,2,10,6.7,3.4,38.88888889,116.6666667,41.66666667,24.9,-32.6
1,2,11,6.7,3,36.11111111,144.4444444,44.44444444,30.2,-18.2
1,2,12,7,2.9,38.88888889,152.7777778,44.44444444,32.4,-2.3
1,2,13,7.2,2.8,38.88888889,150,44.44444444,31.1,13.9
1,2,14,7.5,2.7,63.88888889,144.4444444,50,26.6,28.8
1,2,15,7.5,2.8,488.8888889,100,91.66666667,19.5,41.7
1,2,16,7.6,2.8,400,55.55555556,94.44444444,10.4,52.5
1,2,17,7.4,2.8,22.22222222,11.11111111,88.88888889,0.1,61.7
1,2,18,6.7,2.9,0,0,83.33333333,0,0
1,2,19,6,2.9,0,0,80.55555556,0,0
1,2,20,4.7,3.1,0,0,75,0,0
1,2,21,3.6,3.1,0,0,69.44444444,0,0
1,2,22,2.9,3.1,0,0,66.66666667,0,0
1,2,23,2.1,3.2,0,0,58.33333333,0,0
1,2,24,1.6,3.1,0,0,55.55555556,0,0
1,3,1,1.3,3.1,0,0,52.77777778,0,0
1,3,2,0.6,3.1,0,0,47.22222222,0,0
1,3,3,0.6,3,0,0,44.44444444,0,0
1,3,4,0.7,3.1,0,0,41.66666667,0,0
1,3,5,0.7,3.1,0,0,36.11111111,0,0
1,3,6,1.1,3.1,0,0,30.55555556,0,0
1,3,7,1.4,3.1,0,0,27.77777778,0,0
1,3,8,1.6,3.1,19.44444444,25,25,7.7,-55.3
1,3,9,2.6,3.2,19.44444444,61.11111111,25,17.1,-45
1,3,10,3.4,3.3,19.44444444,91.66666667,25,24.9,-32.7
1,3,11,4.4,3.4,22.22222222,113.8888889,25,30.2,-18.4
1,3,12,4.7,3.9,16.66666667,127.7777778,25,32.5,-2.4
1,3,13,4.4,4.2,8.333333333,97.22222222,25,31.2,13.8
1,3,14,4.7,4.5,2.777777778,58.33333333,16.66666667,26.7,28.8
1,3,15,4.9,4.7,2.777777778,41.66666667,13.88888889,19.6,41.7
1,3,16,5.3,5,2.777777778,19.44444444,16.66666667,10.6,52.5
1,3,17,5.1,5.1,2.777777778,2.777777778,13.88888889,0.2,61.7
1,3,18,5,4.9,0,0,13.88888889,0,0
1,3,19,5.1,4.9,0,0,13.88888889,0,0
1,3,20,5.1,4.9,0,0,13.88888889,0,0
1,3,21,5,5,0,0,13.88888889,0,0
1,3,22,5.3,5,0,0,16.66666667,0,0
1,3,23,5.3,5,0,0,16.66666667,0,0
1,3,24,5.6,5.1,0,0,13.88888889,0,0
1,4,1,5.7,5.2,0,0,13.88888889,0,0
1,4,2,5.5,5.1,0,0,13.88888889,0,0
1,4,3,6,5.4,0,0,13.88888889,0,0
1,4,4,5.9,5.4,0,0,13.88888889,0,0
1,4,5,5.8,5.5,0,0,16.66666667,0,0
1,4,6,6.3,5.6,0,0,13.88888889,0,0
1,4,7,6.8,5.6,0,0,16.66666667,0,0
1,4,8,6.6,5.8,19.44444444,25,22.22222222,7.6,-55.5
1,4,9,7,6,19.44444444,61.11111111,25,17.1,-45.2
1,4,10,7.7,6.2,16.66666667,91.66666667,22.22222222,24.9,-32.9
1,4,11,8,6.3,19.44444444,113.8888889,25,30.3,-18.5
1,4,12,8.5,6.3,22.22222222,125,22.22222222,32.6,-2.5
1,4,13,8.8,6.3,19.44444444,122.2222222,22.22222222,31.4,13.7
1,4,14,9.2,6.3,16.66666667,100,25,26.9,28.7
1,4,15,9.5,6.3,19.44444444,72.22222222,22.22222222,19.8,41.6
1,4,16,9.8,6.1,16.66666667,36.11111111,25,10.7,52.5
1,4,17,9.6,5.7,2.777777778,5.555555556,25,0.4,61.7
1,4,18,9.4,5.1,0,0,27.77777778,0,0
1,4,19,8.8,4.7,0,0,30.55555556,0,0
1,4,20,8.3,4.1,0,0,36.11111111,0,0
1,4,21,7.2,3.7,0,0,36.11111111,0,0
1,4,22,6.3,3.8,0,0,38.88888889,0,0
1,4,23,6.9,3.8,0,0,41.66666667,0,0
1,4,24,5.5,3.9,0,0,41.66666667,0,0
1,5,1,6.5,3.7,0,0,47.22222222,0,0
1,5,2,6.3,3.8,0,0,47.22222222,0,0
1,5,3,5.7,3.9,0,0,47.22222222,0,0
1,5,4,6.3,3.7,0,0,50,0,0
1,5,5,6.8,3.6,0,0,55.55555556,0,0
1,5,6,5.9,3.8,0,0,58.33333333,0,0
1,5,7,5.6,3.6,0,2.777777778,58.33333333,0,0
1,5,8,5.2,3.4,158.3333333,41.66666667,63.88888889,7.6,-55.6
1,5,9,5.2,3.1,136.1111111,102.7777778,58.33333333,17.2,-45.3
1,5,10,6.4,3,288.8888889,158.3333333,75,25,-33.1
1,5,11,7.2,2.8,547.2222222,152.7777778,88.88888889,30.4,-18.7
1,5,12,7.7,2.9,175,213.8888889,66.66666667,32.7,-2.6
1,5,13,7.6,2.7,225,208.3333333,72.22222222,31.5,13.6
1,5,14,7,2.9,425,155.5555556,86.11111111,27,28.7
1,5,15,7.4,2.7,572.2222222,91.66666667,94.44444444,19.9,41.6
1,5,16,6.6,2.5,444.4444444,55.55555556,100,10.9,52.5
1,5,17,5.9,2.5,63.88888889,13.88888889,102.7777778,0.5,61.7
1,5,18,4.9,2.4,0,0,100,0,0
1,5,19,4.2,2.7,0,0,100,0,0
1,5,20,4,2.7,0,0,97.22222222,0,0
1,5,21,2.9,2.9,0,0,97.22222222,0,0
1,5,22,2.9,3,0,0,97.22222222,0,0
1,5,23,1.9,3.1,0,0,94.44444444,0,0
1,5,24,1.8,3,0,0,97.22222222,0,0
