ElementNo,FlagPerimeter,FlagSolarRadiation,direction,FlagUnsteady,name,A,Sunshade
1,1,1,1,1,Aroof,50.85,None
2,1,1,7,1,AwallSW,30.47,None
3,1,1,9,1,AwallNW,22.37,None
4,1,1,3,1,AwallNE,47.92,None
5,1,1,5,1,AwallSE,22.28,None
6,1,1,7,2,AdoorSW,0,None
7,1,1,9,2,AdoorNW,1.89,None
8,1,1,3,2,AdoorNE,1.62,None
9,1,1,5,2,AdoorSE,0,None
10,1,1,7,2,AwndSW,22.69,SunshadeSW
11,1,1,9,2,AwndNW,2.38,SunshadeNW
12,1,1,3,2,AwndNE,3.63,SunshadeNE
13,1,1,5,2,AwndSE,4.37,SunshadeSE
14,1,2,12,1,AIF,0,None
15,1,1,7,1,AbaseSW,5.3,None
16,1,1,9,1,AbaseNW,1.48,None
17,1,1,3,1,AbaseNE,4.62,None
18,1,1,5,1,AbaseSE,2.4,None
19,1,2,12,1,AbaseIF,0,None
20,1,1,7,1,AbasedSW,0,None
21,1,1,9,1,AbasedNW,0.33,None
22,1,1,3,1,AbasedNE,0.25,None
23,1,1,5,1,AbasedSE,0,None
24,1,2,12,1,AbasedIF,0,None
